surname,strength,surname_clean
इसरायल,15,इसरायल
इसरायाल,1,इसरायाल
इसरार,2,इसरार
इसराल,2,इसराल
इसलम,1,इसलम
इसलमाहक,1,इसलमाहक
इसलाम,43,इसलाम
इसलामउदृदीन,1,इसलामउदृदीन
इसहाक,26,इसहाक
इसहाक़,1,इसहाक़
इसा,2,इसा
इसाक,5,इसाक
इसाक़,1,इसाक़
इसाख,2,इसाख
इसाय्क,1,इसाय्क
इसितयाक,1,इसितयाक
इसूफ,2,इसूफ
इस्तयाक,2,इस्तयाक
इस्ताक,1,इस्ताक
इस्तायक,1,इस्तायक
इस्तियाक,15,इस्तियाक
इस्तियाक़,2,इस्तियाक़
इस्तेखर,1,इस्तेखर
इस्तेखार,3,इस्तेखार
इस्तेपाक,1,इस्तेपाक
इस्तेमाल,1,इस्तेमाल
इस्तेयाक,9,इस्तेयाक
इस्तेयाक़र,2,इस्तेयाक़र
इस्तेयाक्,1,इस्तेयाक्
इस्फाक,1,इस्फाक
इस्माइल,16,इस्माइल
इस्माईल,2,इस्माईल
इस्मिल,1,इस्मिल
इस्रयल,2,इस्रयल
इस्रल,1,इस्रल
इस्राइल,4,इस्राइल
इस्राफिल,1,इस्राफिल
इस्राफील,1,इस्राफील
इस्रायल,2,इस्रायल
इस्लाम,50,इस्लाम
ईकबाल,1,ईकबाल
ईदरीश,1,ईदरीश
ईनाम,1,ईनाम
ईमरान,2,ईमरान
ईमाम,8,ईमाम
ईरशाद,1,ईरशाद
ईलयाश,1,ईलयाश
ईलयास,1,ईलयास
ईलियास,1,ईलियास
ईल्यास,2,ईल्यास
ईवरार,1,ईवरार
ईशराईल,2,ईशराईल
ईशा,2,ईशा
ईशान,1,ईशान
ईसफाक,1,ईसफाक
ईसबइल,1,ईसबइल
ईसमाईल,3,ईसमाईल
ईसर,1,ईसर
ईसराइल,7,ईसराइल
ईसराईल,5,ईसराईल
ईसराफिल,1,ईसराफिल
ईसरायल,1,ईसरायल
ईसलाम,6,ईसलाम
ईसा,4,ईसा
ईसाक,1,ईसाक
ईसार,1,ईसार
ईस्लाम,1,ईस्लाम
उ,2,उ
उईददीन,1,उईददीन
उग्र,4,उग्र
उज़मा,1,उज़मा
उज्जम,2,उज्जम
उठा,1,उठा
उड़ीं,1,उड़ीं
उददीन,67,उददीन
उददृदीन,1,उददृदीन
उदरीश,1,उदरीश
उदिदन,5,उदिदन
उदिदमं,1,उदिदमं
उदिदिन,1,उदिदिन
उदिन,27,उदिन
उदीन,1223,उदीन
उदीप,1,उदीप
उदृदीन,1,उदृदीन
उद्घीन,20,उद्घीन
उद्दाम,1,उद्दाम
उद्दिउन,1,उद्दिउन
उद्दिन,2,उद्दिन
उद्दी,1,उद्दी
उद्दीज,1,उद्दीज
उद्दीन,2185,उद्दीन
उद्दीन1,1,उद्दीन
उद्दीन],1,उद्दीन
उद्दीप,2,उद्दीप
उद्दीम,1,उद्दीम
उद्दौला,1,उद्दौला
उद्धिन,4,उद्धिन
उद्धीन,122,उद्धीन
उद्बीन,14,उद्बीन
उद्यीन,10,उद्यीन
उद्यीम,1,उद्यीम
उद्रीन,1,उद्रीन
उद्विन,2,उद्विन
उद्वीन,2,उद्वीन
उद्िन,1,उद्िन
उद्ीन,2,उद्ीन
उधीन,6,उधीन
उपध्याय,1,उपध्याय
उपाध्याय,33,उपाध्याय
उफउद्दीन,1,उफउद्दीन
उफ्तखार,1,उफ्तखार
उब्दीन,1,उब्दीन
उमर,31,उमर
उमरददीन,1,उमरददीन
उमरदराज,1,उमरदराज
उमरहेयात,2,उमरहेयात
उमा,1,उमा
उम्र,1,उम्र
उम्रदराज,3,उम्रदराज
उरीन,1,उरीन
उलला,3,उलला
उलल्हा,1,उलल्हा
उलह,5,उलह
उलाह,4,उलाह
उल्टन,1,उल्टन
उल्फत,1,उल्फत
उल्ल,1,उल्ल
उल्लः,1,उल्लः
उल्लह,4,उल्लह
उल्ला,8,उल्ला
उल्लाह,32,उल्लाह
उल्‍्ला,2,उल््ला
उल्‍्लाह,4,उल््लाह
उषा,1,उषा
उष्माण,2,उष्माण
उष्मान,5,उष्मान
उसमान,21,उसमान
उसमानी,2,उसमानी
उसमाल,1,उसमाल
उसाव,1,उसाव
उसेव,1,उसेव
उस्ताप,1,उस्ताप
उस्मान,28,उस्मान
उस्रमसह,1,उस्रमसह
उीन,1,उीन
उ्दिदह,1,उ्दिदह
उ्दिदिह,1,उ्दिदिह
ऊदृदीन,1,ऊदृदीन
ऊर्मयर,1,ऊर्मयर
ऋषि,4,ऋषि
एँए,1,एँए
एकबाल,14,एकबाल
एकराम,20,एकराम
एकरामा,2,एकरामा
एकरामुलहक,1,एकरामुलहक
एकवार,1,एकवार
एकवाल,9,एकवाल
एक्राम,1,एक्राम
एक्रामल,1,एक्रामल
एक्वाल,1,एक्वाल
एखलाक,7,एखलाक
एखलाख,2,एखलाख
एचौधरी,1,एचौधरी
एजाज,7,एजाज
एजाज़,2,एजाज़
एतांती,1,एतांती
एनाबमॉल,1,एनाबमॉल
एनामउलहक,1,एनामउलहक
एनुन,1,एनुन
एनुल,5,एनुल
एनुस,1,एनुस
एन्तेशाम,1,एन्तेशाम
एपंडित,3,एपंडित
एपू्मांझी,1,एपू्मांझी
एफ,2,एफ
एफरोश,1,एफरोश
एम,2,एम
एमंडल,1,एमंडल
एमहतो,1,एमहतो
एमांझी,5,एमांझी
एमिश्र,1,एमिश्र
एमुनल,1,एमुनल
एमुल,1,एमुल
एम्तैयाज़,1,एम्तैयाज़
एयुब,1,एयुब
एरपसाद,1,एरपसाद
एरप्रसाद,13,एरप्रसाद
एरमांझञी,1,एरमांझञी
एरराम,1,एरराम
एरशाद,2,एरशाद
एराकी,4,एराकी
